rxqual_value,rxlev_dbm,km_value,hour,day_of_week,is_weekend,has_hdlc_retrans,com_dte_dce_ok,voisinage_ok,label
1.0,-53.0,44.47,14.0,4,0,1,1,1,0
5.0,-75.0,6.13,17.0,4,0,1,1,1,0
6.0,-81.0,7.321,20.0,4,0,1,1,1,0
7.0,-53.0,6.13,21.0,4,0,1,1,0,0
0.0,-48.0,123.901,17.0,5,1,1,1,1,0
0.0,-52.0,78.155,7.0,6,1,1,1,1,0
0.0,-64.0,101.587,15.0,6,1,1,1,0,1
5.0,-52.0,6.13,22.0,6,1,1,1,0,0
7.0,-68.0,109.5,8.0,0,0,1,1,1,1
0.0,-77.0,126.51,15.0,0,0,1,1,1,1
0.0,-63.0,117.258,20.0,0,0,1,1,1,1
7.0,-55.0,6.13,21.0,0,0,1,1,1,0
5.0,-83.0,94.954,11.0,1,0,1,1,1,1
5.0,-68.0,6.13,16.0,1,0,1,1,1,0
7.0,-54.0,6.13,17.0,1,0,1,1,1,0
7.0,-54.0,6.13,14.0,2,0,1,0,1,0
0.0,-79.0,7.321,16.0,2,0,1,1,1,0
0.0,-61.0,86.238,20.0,2,0,1,1,1,0
0.0,-48.0,10.125,8.0,3,0,1,1,0,1
0.0,-51.0,6.13,20.0,3,0,1,1,0,0
0.0,-61.0,177.85,21.0,3,0,1,1,1,0
6.0,-51.0,6.13,12.0,4,0,1,1,0,0
0.0,-48.0,60.945,15.0,4,0,1,1,1,0
0.0,-74.0,59.758,18.0,4,0,1,0,1,1
6.0,-54.0,6.13,20.0,4,0,1,1,0,0
6.0,-54.0,7.321,21.0,4,0,1,1,1,0
6.0,-64.0,113.321,21.0,4,0,1,1,0,1
0.0,-48.0,75.84,12.0,5,1,1,1,1,0
0.0,-54.0,185.825,12.0,5,1,1,1,0,1
0.0,-48.0,74.713,7.0,6,1,1,1,1,0
7.0,-75.0,94.954,8.0,6,1,1,1,1,0
7.0,-71.0,108.206,9.0,6,1,1,1,1,1
6.0,-93.0,25.91,11.0,6,1,1,1,1,1
0.0,-48.0,104.253,11.0,6,1,1,1,1,0
0.0,-47.0,91.365,18.0,6,1,1,1,1,0
7.0,-110.0,109.495,19.0,6,1,1,1,1,1
7.0,-63.0,202.125,20.0,6,1,1,1,1,1
0.0,-48.0,18.89,21.0,6,1,1,1,1,1
0.0,-73.0,12.496,21.0,6,1,1,1,1,0
4.0,-59.0,185.47,21.0,6,1,1,1,0,0
7.0,-63.0,202.125,22.0,6,1,1,1,1,1
0.0,-56.0,12.496,8.0,0,0,1,1,1,0
7.0,-52.0,6.13,20.0,0,0,1,1,1,0
0.0,-63.0,58.71,12.0,1,0,1,1,0,0
4.0,-62.0,68.956,12.0,1,0,1,1,0,0
7.0,-54.0,6.13,14.0,1,0,1,1,0,0
7.0,-52.0,6.13,18.0,1,0,1,1,1,0
0.0,-55.0,90.108,7.0,2,0,1,0,1,0
0.0,-51.0,66.702,8.0,2,0,1,1,1,0
7.0,-54.0,7.321,16.0,2,0,1,1,1,0
0.0,-110.0,94.954,17.0,2,0,1,1,1,1
1.0,-60.0,32.626,19.0,2,0,1,1,1,0
7.0,-71.0,73.586,20.0,2,0,1,1,0,1
7.0,-56.0,6.13,14.0,3,0,1,1,0,0
7.0,-74.0,73.586,21.0,3,0,1,1,1,0
7.0,-74.0,177.85,21.0,3,0,1,1,1,0
7.0,-80.0,94.954,23.0,3,0,1,1,1,0
0.0,-54.0,6.13,10.0,4,0,1,1,1,0
7.0,-81.0,7.321,14.0,4,0,1,1,1,0
7.0,-52.0,6.13,19.0,4,0,1,1,0,0
5.0,-55.0,6.13,20.0,4,0,1,1,0,0
6.0,-75.0,134.3,20.0,4,0,1,1,1,0
7.0,-86.0,25.85,12.0,5,1,1,1,1,1
3.0,-56.0,6.13,17.0,5,1,1,1,1,0
0.0,-50.0,130.484,20.0,5,1,1,1,1,0
7.0,-53.0,6.13,21.0,5,1,1,1,0,0
7.0,-56.0,6.13,14.0,6,1,1,1,1,0
7.0,-53.0,6.13,17.0,6,1,1,1,0,0
0.0,-71.0,140.659,18.0,6,1,1,1,1,0
4.0,-50.0,6.13,19.0,6,1,1,1,0,0
7.0,-76.0,73.586,16.0,0,0,1,1,1,1
5.0,-80.0,108.206,20.0,0,0,1,1,1,1
6.0,-83.0,94.954,22.0,0,0,1,1,1,1
7.0,-64.0,73.586,7.0,1,0,1,1,1,1
7.0,-48.0,51.037,8.0,1,0,1,0,1,0
7.0,-74.0,177.85,12.0,1,0,1,0,1,0
0.0,-48.0,14.99,20.0,2,0,1,1,1,0
7.0,-71.0,179.089,20.0,2,0,1,1,1,1
5.0,-72.0,140.659,21.0,2,0,1,1,1,1
7.0,-81.0,127.815,21.0,2,0,1,1,1,1
0.0,-57.0,97.619,22.0,2,0,1,1,1,0
0.0,-51.0,131.789,9.0,3,0,1,1,1,0
7.0,-61.0,7.321,10.0,3,0,1,1,1,0
0.0,-50.0,83.084,17.0,3,0,1,1,1,0
7.0,-75.0,177.85,18.0,3,0,1,1,0,1
1.0,-65.0,118.562,7.0,5,1,1,1,1,0
3.0,-53.0,6.13,10.0,5,1,1,1,1,0
0.0,-48.0,17.59,20.0,5,1,1,1,1,0
0.0,-48.0,17.59,9.0,6,1,1,1,1,0
0.0,-68.0,110.783,17.0,6,1,1,1,1,1
6.0,-54.0,7.321,18.0,6,1,1,1,1,0
0.0,-58.0,179.149,17.0,6,1,1,1,1,0
6.0,-54.0,6.13,22.0,6,1,1,1,1,0
0.0,-48.0,79.282,4.0,0,0,1,1,1,0
7.0,-61.0,152.488,6.0,0,0,1,1,0,0
0.0,-48.0,30.016,16.0,0,0,1,1,1,1
0.0,-48.0,130.484,17.0,0,0,1,1,1,0
2.0,-61.0,10.125,20.0,0,0,1,1,1,1
7.0,-70.0,7.321,9.0,1,0,1,1,0,0
0.0,-49.0,108.206,16.0,1,0,1,1,1,1
0.0,-48.0,67.829,17.0,1,0,1,1,1,0
4.0,-51.0,6.13,20.0,1,0,1,1,1,0
7.0,-83.0,26.739,22.0,1,0,1,1,1,1
0.0,-48.0,129.18,7.0,2,0,1,1,1,0
7.0,-85.0,94.954,18.0,2,0,1,1,1,0
0.0,-60.0,32.626,19.0,2,0,1,1,1,0
7.0,-54.0,6.13,20.0,2,0,1,1,1,0
7.0,-87.0,127.815,8.0,3,0,1,1,1,0
0.0,-55.0,185.825,9.0,3,0,1,1,1,0
