source,timestamp,km,zone_gsmr,cause_racine,sous_systeme,rxqual_ertms,rxlev_ertms,start_time,stop_time,call_setup_duration,transaction_duration,gsmr_connected,etcs_connected,end_event,end_cause,imei,label,call_setup_sec,transaction_sec,hour,day_of_week,is_weekend,is_night,duration_very_short,duration_very_long,slow_setup,km_value
ERTMS,2025-12-19 19:05:09.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO est complet entre 202 et 203 , les conditions radio étaient mauvaises avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-59,2025-12-19 19:05:00.150,2025-12-19 19:05:10.402,3s 604ms,10s 252ms,Connected,Not Connected,Release,Normal call clearing,35214500045187.0,1,3.604,10.252,19,4,0,0,1,0,0,6.13
Expandium_Normal,2025-11-20 01:14:03.834,,,,,,,2025-11-20 01:14:03.834,2025-11-20 01:15:40.763,3s 633ms,1min 36s 929ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045424.0,0,3.633,96.929,1,3,0,1,0,0,0,
Expandium_Normal,2025-10-19 15:18:16.051,,,,,,,2025-10-19 15:18:16.051,2025-10-19 15:18:48.814,3s 592ms,32s 763ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500044557.0,0,3.592,32.763,15,6,1,0,1,0,0,
Expandium_Normal,2026-02-26 02:43:12.474,,,,,,,2026-02-26 02:43:12.474,2026-02-26 02:44:47.292,3s 601ms,1min 34s 818ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045098.0,0,3.601,94.818,2,3,0,1,0,0,0,
Expandium_Normal,2026-02-24 04:57:02.427,,,,,,,2026-02-24 04:57:02.427,2026-02-24 06:15:00.052,4s 548ms,1h 17min 57s 625ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045073.0,0,4.548,4677.625,4,1,0,1,0,1,0,
ERTMS,2025-10-24 18:05:16.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO Complet entre 202 et 203  ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC",BORD,dl Rxqual=7,dl rx level=-64,2025-10-24 18:05:08.054,2025-10-24 18:05:17.780,4s 305ms,9s 726ms,Connected,Not Connected,Release,Normal call clearing,35214500045357.0,1,4.305,9.725999999999999,18,4,0,0,1,0,0,6.13
Expandium_Normal,2025-11-05 09:01:12.147,,,,,,,2025-11-05 09:01:12.147,2025-11-05 09:45:48.090,4s 536ms,44min 35s 943ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500045735.0,0,4.536,2675.943,9,2,0,0,0,0,0,
ERTMS,2025-12-15 07:26:37.000,95.014,GSMR_17/18,"Selon notre analyse, nous avons constaté que le HO est Non finalisé entre 317 et 218 , les conditions radio en UPLINK étaient Mauvaises (Le downlink était OK) avant la déconnexion, La requete de deconnexion a ete envoyé par la BTS sans retransmission des trames HDLC",GSMR,dl Rxqual=0 (Ul rxqual = 7),dl rx level=-76 (ul rx level = -87),2025-12-15 07:26:35.322,2025-12-15 07:26:52.685,3s 645ms,17s 363ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500045200.0,1,3.645,17.363,7,0,0,0,1,0,0,95.014
ERTMS,2026-02-03 07:05:09.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO Non finalisé  entre 202 et 203, les conditions radio étaient Mauvaise avant la déconnexion, La requete de deconnexion a ete envoyé par le RBC  avec  retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-71,2026-02-03 07:04:57.797,2026-02-03 07:05:13.493,3s 605ms,15s 696ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500022752.0,1,3.605,15.696,7,1,0,0,1,0,0,6.13
ERTMS,2025-10-19 17:38:15.000,177.85,GSMR_30/31,"Selon notre analyse, nous avons constaté que le HO non finalisé entre 331 et 329 ( saute de cellule 330 ) ,les conditions radio étaient Mauvaises avant la déconnexion,La requete de deconnexion a ete envoyé par le RBC avec retransmission des trames HDLC",GSMR,dl Rxqual=7,dl rx level=-72,2025-10-19 17:38:18.595,2025-10-19 17:38:26.816,3s 676ms,8s 221ms,Connected,Not Connected,Disconnect,Normal call clearing,35214500038730.0,1,3.676,8.221,17,6,1,0,1,0,0,177.85
ERTMS,2026-01-11 11:05:15.000,6.13,GSMR_02/03,"Selon notre analyse, nous avons constaté que le HO complet entre 302 et 203  , les conditions radio étaient mauvaises avant la déconnexion, La requete de deconnexion a ete envoyé par le  RBC  avec  retransmission des trames HDLC*5",BORD,dl Rxqual=7,dl rx level=-67,2026-01-11 11:05:17.441,2026-01-11 11:05:26.049,3s 566ms,8s 608ms,Connected,Not Connected,User Plane HDLC DISC,,35214500044557.0,1,3.566,8.608,11,6,1,0,1,0,0,6.13
Expandium_Normal,2026-02-14 19:32:39.694,,,,,,,2026-02-14 19:32:39.694,2026-02-14 20:14:28.776,3s 611ms,41min 49s 82ms,Connected,Connected,User Plane SUBSET026 Term Session,,35214500040638.0,0,3.6109999999999998,2509.082,19,5,1,0,0,0,0,
ERTMS,2026-01-29 16:26:56.000,101.587,GSMR_18/19,"Selon notre analyse, nous avons constaté que le HO est Non finalisé entre 219 et 218 , les conditions radio en UPLINK étaient Mauvaises (Le downlink était OK) avant la déconnexion, La requete de deconnexion a ete envoyé par la RBC avec retransmission des trames HDLC",BORD,dl Rxqual=2,dl rx level=-68,2026-01-29 16:26:49.663,2026-01-29 16:27:05.114,3s 626ms,15s 451ms,Connected,Connected,User Plane SAPDU DI,Normal release requested by peer SFM user,35214500045461.0,1,3.626,15.451,16,3,0,0,1,0,0,101.587
